"S","I","R","D","H","beds","ISO"
"8574.055433583551","8748.330114916791","7456902.090915086","505304.7617682172","1749.6660229833583","19089.225","CH"
"8568.743614486606","7993.180631459137","7457616.924539487","505327.5756072938","1598.6361262918274","19089.225","CH"
"8563.893185669427","7303.212354152259","7458270.054123244","505348.4201684774","1460.6424708304519","19089.225","CH"
"8559.463845162698","6672.799581008855","7458866.805710075","505367.46543188684","1334.559916201771","19089.225","CH"
"8555.418848490677","6096.802081299423","7459412.045656674","505384.8667067781","1219.3604162598847","19089.225","CH"
"8551.724688534405","5570.523214242148","7459910.220302067","505400.7658975886","1114.1046428484296","19089.225","CH"
"8548.350805202543","5089.6716586781295","7460365.392214631","505415.2926607554","1017.934331735626","19089.225","CH"
"8545.269321973663","4650.326442744416","7460781.273311843","505428.5654617303","930.0652885488834","19089.225","CH"
"8542.454806688263","4248.904989280104","7461161.25512247","505440.6925407927","849.7809978560208","19089.225","CH"
"8539.884054245647","3882.1339171407035","7461508.436437578","505451.7727955302","776.4267834281408","19089.225","CH"
"8537.535889105571","3547.022360940295","7461825.648575639","505461.89658717037","709.4044721880591","19089.225","CH"
"8535.39098571065","3240.8375921717975","7462115.478467475","505471.14647733513","648.1675184343595","19089.225","CH"
"8533.431705137453","2961.0827433321956","7462380.289749125","505479.5979012174","592.2165486664392","19089.225","CH"
"8531.641946454441","2705.476453757071","7462622.242034488","505487.31978266535","541.0952907514142","19089.225","CH"
"8530.007011416426","2471.9342714797544","7462843.308524765","505494.375096185","494.3868542959509","19089.225","CH"
"8528.513481260361","2258.5516596948505","7463045.292098191","505500.8213804432","451.7103319389701","19089.225","CH"
"8527.149104487917","2063.5884694538795","7463229.840011185","505506.71120745357","412.71769389077593","19089.225","CH"
"8525.902694628012","1885.4547521395302","7463398.457330728","505512.0926112688","377.0909504279061","19089.225","CH"
"8524.764037069257","1722.6977961616972","7463552.519207455","505517.009479675","344.53955923233946","19089.225","CH"
"8523.723804138779","1573.9902822784416","7463693.282089458","505521.5019120794","314.7980564556883","19089.225","CH"
"8522.773477681823","1438.1194610462242","7463821.893968285","505525.60654651024","287.62389220924484","19089.225","CH"
"8521.905278466347","1313.9772642220364","7463939.4037405625","505529.3568583914","262.7954528444073","19089.225","CH"
"8521.112101800069","1200.551269543768","7464046.769761625","505532.78343353176","240.11025390875363","19089.225","CH"
"8520.387458803993","1096.9164452610994","7464144.867660865","505535.91421755025","219.38328905221988","19089.225","CH"
"8519.725422837811","1002.227607140009","7464234.497482506","505538.7747437729","200.44552142800183","19089.225","CH"
"8519.12058061879","915.7125264640873","7464316.390210027","505541.3883414599","183.14250529281748","19089.225","CH"
"8518.567987617602","836.6656328604396","7464391.213727432","505543.7763260582","167.33312657208793","19089.225","CH"
"8518.063127352425","764.4422606218947","7464459.578265985","505545.95817303343","152.88845212437894","19089.225","CH"
"8517.601874236856","698.4533916245624","7464522.0413807705","505547.95167669683","139.69067832491248","19089.225","CH"
"8517.18045966827","638.1608519870196","7464579.112497725","505549.773095323","127.63217039740391","19089.225","CH"
"8516.795441071341","583.0729233131707","7464631.257068159","505551.4372837412","116.61458466263414","19089.225","CH"
"8516.44367363708","532.7403327402543","7464678.900364686","505552.95781448146","106.54806654805087","19089.225","CH"
"8516.122284520823","486.752589099956","7464722.430949477","505554.34708846424","97.35051781999121","19089.225","CH"
"8515.828649283701","444.73463532113254","7464762.203843153","505555.6164361347","88.94692706422651","19089.225","CH"
"8515.560370381281","406.34378978115325","7464798.543420131","505556.7762098679","81.26875795623066","19089.225","CH"
"8515.315257520377","371.26695166673926","7464831.746054048","505557.83586839726","74.25339033334785","19089.225","CH"
"8515.091309720967","339.2180475583114","7464862.082534839","505558.80405395455","67.84360951166228","19089.225","CH"
"8514.886698934404","309.93569841763934","7464889.800277173","505559.6886627522","61.98713968352787","19089.225","CH"
"8514.699755082313","283.18108795539047","7464915.125338227","505560.4969093817","56.63621759107809","19089.225","CH"
"8514.52895239249","258.73601499722713","7464938.264261335","505561.23538565123","51.74720299944543","19089.225","CH"
"8514.37289691883","236.40111396670386","7464959.4057604475","505561.9101143464","47.280222793340776","19089.225","CH"
"8514.230315142438","215.99422897413575","7464978.722259212","505562.5265983495","43.19884579482715","19089.225","CH"
"8514.100043559873","197.34892825305985","7464996.371297177","505563.08986551856","39.469785650611975","19089.225","CH"
"8513.981019172865","180.3131468299948","7465012.496814639","505563.6045096929","36.06262936599896","19089.225","CH"
"8513.87227080118","164.74794635880173","7465027.230326551","505564.07472815836","32.949589271760345","19089.225","CH"
"8513.772911147234","150.52638200654698","7465040.691995118","505564.5043558785","30.105276401309396","19089.225","CH"
"8513.682129547267","137.53246715027356","7465052.9916097885","505564.89689677226","27.506493430054714","19089.225","CH"
"8513.599185349562","125.66022744191955","7465064.229482663","505565.25555228925","25.13204548838391","19089.225","CH"
"8513.52340186532","114.81283652724407","7465074.497266596","505565.5832475212","22.962567305448815","19089.225","CH"
"8513.454160842666","104.90182637050832","7465083.878702706","505565.88265505654","20.980365274101665","19089.225","CH"
"8513.390897418361","95.84636574495407","7465092.450303313","505566.1562167779","19.169273148990815","19089.225","CH"
"8513.333095505981","87.57260100510122","7465100.281975966","505566.40616377746","17.514520201020243","19089.225","CH"
"8513.280283582699","80.01305376459723","7465107.437593579","505566.6345345524","16.00261075291945","19089.225","CH"
"8513.232030840196","73.10607056765274","7465113.975515362","505566.8431916306","14.621214113530549","19089.225","CH"
"8513.187943668232","66.79532006586493","7465119.949062773","505567.03383676073","13.359064013172986","19089.225","CH"
"8513.14766244203","61.02933359973985","7465125.406954405","505567.20802479156","12.20586671994797","19089.225","CH"
"8513.110858587277","55.76108543822569","7465130.3937033005","505567.36717635195","11.15221708764514","19089.225","CH"
"8513.07723189867","50.947609252870535","7465134.949980002","505567.5125894383","10.189521850574108","19089.225","CH"
"8513.046508090105","46.549647698852056","7465139.112944243","505567.64544999937","9.309929539770412","19089.225","CH"
"8513.018436556526","42.53133224497654","7465142.916548011","505567.76684160903","8.506266448995309","19089.225","CH"
"8512.992788329055","38.8598906415688","7465146.391812451","505567.8777543038","7.771978128313761","19089.225","CH"
"8512.969354206787","35.5053796404599","7465149.567080868","505567.9790926576","7.10107592809198","19089.225","CH"
"8512.947943049896","32.44044078729078","7465152.468249881","505568.071683158","6.488088157458157","19089.225","CH"
"8512.928380220206","29.6400772944486","7465155.118980623","505568.1562809476","5.92801545888972","19089.225","CH"
"8512.910506156408","27.081450174961873","7465157.540891736","505568.2335759829","5.416290034992375","19089.225","CH"
"8512.894175072302","24.74369197465918","7465159.753735663","505568.30419866147","4.948738394931836","19089.225","CH"
"8512.879253767489","22.607736583496187","7465161.775559757","505568.3687249623","4.5215473166992375","19089.225","CH"
"8512.86562054077","20.656163738041567","7465163.6228534635","505568.4276811445","4.131232747608314","19089.225","CH"
"8512.85316419732","18.87305694696553","7465165.310682812","505568.4815480385","3.7746113893931064","19089.225","CH"
"8512.841783141626","17.24387368080366","7465166.852813274","505568.5307649683","3.448774736160732","19089.225","CH"
"8512.831384548756","15.755326767324659","7465168.26182205","505568.57573333354","3.151065353464932","19089.225","CH"
"8512.821883607146","14.395276025200376","7465169.549200632","505568.61681988416","2.8790552050400753","19089.225","CH"
"8512.813202826816","13.152629252168449","7465170.725448533","505568.6543597107","2.63052585043369","19089.225","CH"
"8512.805271407256","12.017251760209422","7465171.8001589095","505568.688658978","2.403450352041885","19089.225","CH"
"8512.798024659956","10.979883719910172","7465172.782096808","505568.7199974216","2.1959767439820346","19089.225","CH"
"8512.791403480718","10.03206463991935","7465173.679270652","505568.74863062944","2.00641292798387","19089.225","CH"
"8512.7853538676","9.166064365563338","7465174.498997546","505568.7747921261","1.8332128731126678","19089.225","CH"
"8512.779826480424","8.374820033877324","7465175.247962963","505568.79869527766","1.6749640067754648","19089.225","CH"
"8512.77477623834","7.651878470870668","7465175.93227526","505568.8205350318","1.5303756941741335","19089.225","CH"
"8512.770161952123","6.991343561239599","7465176.557515503","505568.8404895077","1.39826871224792","19089.225","CH"
"8512.765945988214","6.387828161288721","7465177.128782983","505568.85872144863","1.2775656322577442","19089.225","CH"
"8512.762093961785","5.836410162881315","7465177.650736807","505568.87537954946","1.1672820325762632","19089.225","CH"
"8512.75857445628","5.33259235008739","7465178.127633885","505568.890599669","1.0665184700174781","19089.225","CH"
"8512.755358767154","4.872265721129396","7465178.563363664","505568.9045059386","0.9744531442258793","19089.225","CH"
"8512.752420667788","4.451675976496143","7465178.961479839","505568.91721177404","0.8903351952992287","19089.225","CH"
"8512.749736195565","4.067392899906402","7465179.325229334","505568.9288208006","0.8134785799812804","19089.225","CH"
"8512.74728345642","3.7162823824062756","7465179.657578794","505568.93942769826","0.7432564764812551","19089.225","CH"
"8512.745042446279","3.3954808614343808","7465179.961238774","505568.9491189742","0.6790961722868762","19089.225","CH"
"8512.742994887909","3.1023719663880693","7465180.238685839","505568.9579736679","0.6204743932776139","19089.225","CH"
"8512.741124081911","2.834565190962433","7465180.492182767","505568.9660639954","0.5669130381924866","19089.225","CH"
"8512.739414770303","2.5898763629363795","7465180.723797019","505568.97345593956","0.5179752725872759","19089.225","CH"
"8512.737853012308","2.3663098663433577","7465180.9354175795","505568.9802097873","0.4732619732686716","19089.225","CH"
"8512.736426070567","2.162042353228677","7465181.128770366","505568.98638062103","0.4324084706457354","19089.225","CH"
"8512.73512230727","1.9754078729195268","7465181.305432317","505568.9920187684","0.39508157458390536","19089.225","CH"
"8512.733931089213","1.8048842849842066","7465181.466844236","505568.99717021256","0.36097685699684134","19089.225","CH"
"8512.732842701098","1.6490808450696826","7465181.614322556","505569.0018769675","0.3298161690139365","19089.225","CH"
"8512.7318482663","1.506726862368015","7465181.749070069","505569.00617742003","0.30134537247360305","19089.225","CH"
"8512.73093967443","1.3766613362071678","7465181.872185739","505569.0101066436","0.27533226724143356","19089.225","CH"
"8512.730109515238","1.2578234872450602","7465181.984673666","505569.0136966838","0.25156469744901205","19089.225","CH"
"8512.729351018148","1.1492441060412264","7465182.087451272","505569.01697682025","0.2298488212082453","19089.225","CH"
"8512.728657997037","1.0500376484478635","7465182.181356784","505569.0199738045","0.2100075296895727","19089.225","CH"
"8512.728024799799","0.9593950133520392","7465182.267156068","505569.02271207934","0.19187900267040786","19089.225","CH"
"8512.727446262239","0.8765769438666222","7465182.3455488775","505569.0252139776","0.17531538877332445","19089.225","CH"
"8512.72691766595","0.8009079981516415","7465182.417174568","505569.027499904","0.1601815996303283","19089.225","CH"
"8512.726434699827","0.7317710406946938","7465182.482617296","505569.0295885017","0.14635420813893876","19089.225","CH"
"8512.725993424929","0.6686022091207189","7465182.542410795","505569.0314968049","0.13372044182414378","19089.225","CH"
"8512.72559024233","0.6108863154837997","7465182.597042726","505569.03324037726","0.12217726309675994","19089.225","CH"
